Plant code;Primary Plant activity;Audit code;Audit date;Audit nature;Audit schedule type;Non-verified NCs;Non-verified Business Critical NCs;Non-verified Critical NCs;Non-verified Major NCs;Non-verified Minor NCs;Overdue non-verified NCs;Country/Region
XXX1000038283;Private security activities;XXXA600076224;10/07/2024;Full initial audit;Announced;0;0;0;0;0;0;Pakistan
XXX1000038319;Service activities incidental to land transportation;XXXA600133222;20/05/2025;Full initial audit;Announced;16;0;2;10;4;16;Colombia
XXX1000038417;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;Turkey
XXX1000038562;Manufacture of other food products n.e.c.;XXXA600123874;09/05/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;Belgium
XXX1000038843;Warehousing and storage;XXXA600158129;22/09/2025;Full initial audit;Announced;10;0;1;7;2;10;Belgium
XXX1000038995;Manufacture of other food products n.e.c.;XXXA600118680;06/03/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Brazil
XXX1000039019;Manufacture of spices, sauces and condiments;XXXA600101587;17/12/2024;Full initial audit;Announced;7;0;0;5;2;7;United States
XXX1000039140;Warehousing and storage;XXXA600160755;16/10/2025;Full initial audit;Announced;3;0;0;2;1;3;Italy
XXX1000039347;Manufacture of sugar;;;;;;;;;;;India
XXX1000039386;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;Ukraine
XXX1000039997;Manufacture of other food products n.e.c.;;;;;;;;;;;Argentina
XXX1000040745;"Manufacture of soft drinks; production of mineral waters and other bottled waters";XXXA600191436;15/04/2026;Periodic audit;Announced;2;0;1;1;0;0;India
XXX1000041554;Manufacture of dairy products;;;;;;;;;;;Thailand
XXX1000041814;Warehousing and storage;XXXA600083621;24/09/2024;Full initial audit;Announced;1;0;0;1;0;1;France
XXX1000042165;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600140796;23/06/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Pakistan
XXX1000042515;Manufacture of other food products n.e.c.;XXXA600105674;30/01/2025;Full initial audit;Announced;10;0;2;4;4;10;United States
XXX1000042950;"Manufacture of soft drinks; production of mineral waters and other bottled waters";;;;;;;;;;;United States
XXX1000044326;Packaging activities;;;;;;;;;;;Brazil
XXX1000044376;Packaging activities;XXXA600125800;24/04/2025;Full initial audit;Announced;19;0;4;12;3;19;India
